Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
89. belgium  69878  416351  4926.844771591221  2193ms  756531  1458ms  957886
90. belgium  468530  86001  3980.7152228900354  659ms  377953  546ms  399204
91. belgium  885215  74190  2141.96869706532  343ms  136285  178ms  115170
92. belgium  749523  197636  4646.514347762637  1853ms  676816  1420ms  869052
93. belgium  606655  171082  1454.414483464922  46ms  29233  40ms  28892
94. belgium  454371  168195  6957.787586963587  2020ms  975123  3070ms  1676078
95. belgium  66185  100896  2297.4198320956543  1231ms  310749  662ms  376026
96. belgium  644793  540460  5378.174311905644  1117ms  558802  772ms  646880
97. belgium  164776  79713  4231.238801234247  781ms  491300  1107ms  819044
98. belgium  337495  98786  3752.2357797136297  515ms  287519  597ms  455636
99. belgium  360381  581168  4125.115049867631  1075ms  596264  546ms  504996
100. belgium  62766  810544  4077.7351785792907  1548ms  787613  1314ms  1102128
