Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
91. carre-dense  141736  152058  81384.5859375  1391ms  281587  52ms  26500
92. carre-dense  126316  96623  82213.203125  649ms  172376  237ms  85152
93. carre-dense  293867  141056  54369.765625  943ms  220382  51ms  25076
94. carre-dense  95880  324128  38755.59375  279ms  93490  2ms  1780
95. carre-dense  185768  271244  102693.625  1244ms  350118  488ms  114510
96. carre-dense  307786  350439  89907.28125  1295ms  271079  334ms  95978
97. carre-dense  290891  224048  40867.13671875  530ms  138854  38ms  23064
98. carre-dense  356338  234099  58085.0546875  1073ms  262675  75ms  36986
99. carre-dense  87390  78514  46183.60546875  339ms  100979  18ms  10354
100. carre-dense  187367  212289  104346.1875  1315ms  359097  392ms  95772
